#x/cm	D0/µm	Dm/µm
2.7	17	17
6	17	17
9	17	17
12	18	17.5
15	17	17
18	16	16
21	17	16
24	16	13
27	16	12
30	15.5	12.5
33	17	14
36	17.5	16
39	17.5	17
42	17.5	17
45	17	17
49.4	17	17
