#x/cm	D0/µm	Dm/µm
2.7	107	105.5
5	105.5	106.5
7.5	107.5	107.5
10	107	107
12.5	107.5	104
15	106	96
17.5	105	82
20	99	67
22.5	90.5	52.5
25	84	36.5
27.5	75.5	20
30	69	2.5
32.5	60.5	-15
35	53	-40
37.5	43	-52
40	33	-72
42.5	27	-88
45	14	-112
47.5	4	-131
49.4	2	-155
