# Beschleunigung
-5   6.8
-4   5.8
-3.5 5.25
-3   4.2
-2.5 3.7
-2   2.8
-1   1.59
-0.5 1.15
0    0.93
# Brems:
0.05 0.9
0.1  0.84
0.2  0.75
0.3  0.66
0.4  0.58
0.5  0.48
0.6  0.40
0.7  0.31
0.8  0.24
0.9  0.18
1    0.13
1.3  0.03
1.6  0
