# f[Hz] U[V; relative]
10      14.8
23.55   14.4
35      13.5
50.01   12.7
75      10.6
100     8.9
150     6.7
200     5.3
300     3.75
400     2.8
500.01  2.3
550     2.05
600     1.9
700     1.65
800     1.45
900     1.29
1000    1.17
1200    1
1500    0.8
