# Loch Nr. | von a-Seite | von b-Seite | von c-Seite
1	  17.7	61.2	133.0
2	  19.5	60.2	134.6
3	  55.3	15.1	10.0
4	  6.9   70.9	13.4
5	  15.0	62.9	28.5
6	  23.0	55.0	43.7
7	  31.0	46.8	58.7
8	  38.0	38.7	73.6
9	  46.4	30.5	88.0
10	54.0	22.00	102.50
11	61.5	13.30	117.40
